"","KANTONSNUM","name","pop","installed_kw_before2005","installed_kw_2005","installed_kw_2006","installed_kw_2007","installed_kw_2008","installed_kw_2009","installed_kw_2010","installed_kw_2011","installed_kw_2012","installed_kw_2013","installed_kw_2014","installed_kw_2015","installed_kw_2016","installed_kw_2017","installed_kw_2018","installed_kw_2019","installed_kw_2020","installed_kw_2021","installed_kw_2022","installed_kw_total","Scenario1_RoofsOnly_PotentialSolarElectricity_GWh","Scenario2_RoofsOnly_PotentialSolarElectricity_GWh","Scenario3_RoofsFacades_PotentialSolarElectricity_GWh","Scenario4_RoofsFacades_PotentialSolarElectricity_GWh"
"1",1,"Zürich",1564662,3411.97,364.25,428,1668.31,2008.73,3424.26,4467.44,10595.76,17690.81,18781.04,17090.84,30668.81,23772.63,22529.55,24528.98,30771.98,43176.84,62681.6,41392.38,359454.18,7292.65,4707.85,9781.28,7196.53
"2",2,"Bern",1047422,2110.56,1436.01,110.75,518.11,1925.1,5199.62,5736.55,20959.42,37160.55,49366.11,26857.23,53319.35,27565.1,23423.03,25695.65,32468.54,47289.32,55241.28,47962.59,464344.87,9170.27,6350.14,11860.3,9039.88
"3",3,"Luzern",420326,311.18,101.4,59.6,255.45,1793.37,3515.03,3258.72,9903.69,19825.98,19199.52,15906.18,33138.16,19156.43,14457.77,15587.2,25581.99,33705.56,33845.17,23096.84,272699.24,3298.8,2451.67,4328.46,3481.3
"4",4,"Uri",37047,19.18,0,12.2,0,172.42,127.33,13.6,161.22,579.55,721.45,339.69,456.64,423.38,405.1,795.22,595.48,1535.04,2532.79,1865.55,10755.84,271.9,180.29,366.88,275.25
"5",5,"Schwyz",163689,145.68,46.92,32,22.6,117.25,372.96,329.23,2400.67,3257.93,2936.5,3195.44,5218.23,3332.22,3199.62,3678.42,5768.11,12605.38,8907.58,5775.75,61342.49,1060.04,675.67,1454.43,1070.1
"6",6,"Obwalden",38435,367.87,0,0,3.5,0,472.49,234.6,346.34,899.34,2948.63,653.5,1380.79,1363.28,2055.79,1451.44,2045.43,2539.78,2232.04,2682.1,21676.92,338.48,230.79,462.85,355.17
"7",7,"Nidwalden",43894,10.9,0,0,0,140.62,31.1,613.28,235.91,855.16,1607.31,693.16,873.37,1555.18,422.01,858.26,687.61,1698.7,4570.24,920.73,15773.54,245.81,158.64,328.9,241.74
"8",8,"Glarus",41190,4.6,0,22.58,36.8,74.8,43.58,99.8,262.92,618.88,582.16,506.06,1535,589.33,417.91,871.92,888.63,2711.35,4428.52,2545.48,16240.32,329.75,203.69,440.2,314.17
"9",9,"Zug",129787,192.01,6.57,17.3,14.3,170.4,255.8,323.77,924.33,4495.62,5133.03,3118.57,5752.19,3169.84,3158.95,3120.56,2958.87,6455.93,7119.94,6751.88,53139.86,689.34,485.27,945.93,741.87
"10",10,"Fribourg",329860,6,110.2,53.4,167.43,680.45,1187.2,1928.6,6987.95,12959.94,17390.18,7220.58,29674.78,16713.43,14816.34,15020.41,17923.9,22678.83,25319.12,22020.15,212858.89,3241.91,2429.78,4282.6,3470.57
"11",11,"Solothurn",280245,168.1,6.62,14.9,63.05,753.23,485.59,2985.63,8515.12,13146.01,24687.29,6243.46,18101.93,7000.21,6383.92,8019.37,6473.63,11245.85,14737.14,11981.02,141012.07,2360.77,1603.66,3028.08,2270.89
"12",12,"Basel-Stadt",196036,1613.4,212.5,80.1,0,5.5,489.1,1328.05,2646.06,1352.5,4409.79,1351.15,1969.23,1393.07,3607.03,2635.4,1901.05,3804.67,4458.51,2625.16,35882.27,633.87,416.08,830.85,613.08
"13",13,"Basel-Landschaft",292817,649.5,11,36.1,304.17,511.7,873.5,966.11,7181.12,15723.3,12162.4,4896.65,8990.03,4810.61,5695.62,4779.93,5702.41,12026.85,14462.78,10538.23,110322.01,1861.04,1225.19,2482.75,1846.93
"14",14,"Schaffhausen",83995,174.13,12.7,7.5,207.75,414.35,47.19,821.31,1202.82,3403.69,3793.9,2239.3,2731.79,1726.07,3049.8,1730.12,1436.78,3823.46,5099.36,3327.81,35249.83,704.95,491.17,910.26,696.41
"15",15,"Appenzell Ausserrhoden",55585,222.06,28.5,4.2,221.33,54.2,332.47,105.02,472.12,2914.63,2194.02,2043.26,2710.69,1700.9,1229.56,1483.96,1773.5,3137.42,3193.76,4394.91,28216.51,428,227.24,610.63,409.84
"16",16,"Appenzell Innerrhoden",16360,2.3,0,0,103.6,554.31,213.14,49.1,630.93,1558.75,727.79,865.18,916.46,1086.2,763.19,686.98,840.88,2180.03,1846.55,2902.14,15927.53,162.01,93.34,229.95,161.28
"17",17,"St. Gallen",519245,181.99,18.76,135,495.88,1970.48,3303.79,4348.48,15514.61,20122.2,24549.03,13859.14,37239.96,19507.7,14181.01,17350.16,25938.71,33843.99,45960.01,36572.88,315093.78,4071.97,2749.5,5475.33,4152.82
"18",18,"Graubünden",201376,723.26,355.05,154,301.3,648.32,1821.99,2737.81,3448.55,6084.95,8604.26,6051.7,12152.43,5920.04,6328.17,5869.11,6974.83,13015.45,12885.84,8641.5,102718.56,2527.88,1725.06,3523.52,2720.6
"19",19,"Aargau",703086,588.76,25.8,103.02,132.4,1008.53,2326.84,3467.83,7963.11,16286.17,18497.73,13837.73,30234.8,16638.04,14107.21,16243.42,20376.88,38231.38,50130.81,43148.09,293348.55,5415.35,3796.7,6971.88,5353.19
"20",20,"Thurgau",285964,291.59,36.11,33,220.5,1312.34,1987.7,1926.92,6372.32,11495.06,23706.01,11171.9,24478.93,15989.65,9981.85,11100.19,13230.21,26510.75,31209.16,25219.82,216274.01,2818.16,1870.46,3651.21,2703.46
"21",21,"Ticino",352181,140.6,7.1,11.1,68,278.67,2119.22,449,871.68,3427.01,11385.54,9936.25,18564.09,8490.94,11170.85,10070.84,11855.9,13216.94,19548.2,25359.92,146971.85,3414.3,2445.76,4635.85,3667.38
"22",22,"Vaud",822968,266.82,101.08,142.2,361.98,1108.37,3099.61,5100.03,6548.35,15624.84,31467.94,15021.05,35287.33,38165.74,24846.66,27235.34,29796.25,38153.12,40701.06,30057.94,343085.71,5926.74,4288.4,7730.98,6092.73
"23",23,"Valais",353209,72.9,22,22.5,38.12,235.4,534.52,361.02,5729.1,16259.4,14349.97,9664.69,17920.76,8900,9053.33,12275.78,13467.7,16993.41,22962.25,17228.87,166091.72,3858.1,2717.4,5167.57,4026.75
"24",24,"Neuchâtel",176166,0,0,175.55,18,83.08,336.17,336.63,1418.49,2315.16,2504.48,4453.08,10452.55,6224.02,6313.15,8674.68,8034.27,9164.42,10918.27,7017.28,78439.28,1241.39,858.8,1677.89,1295.21
"25",25,"Genève",509448,1311.89,1734.15,563.79,1484.08,245.44,1252.17,1546.69,3552.14,10151.18,5401.34,2874.48,7264.09,5754.6,4742.25,6444.28,7717.4,7140.53,11476.36,9148.89,89805.75,1981.44,1518.64,2473.27,2010.43
"26",26,"Jura",73798,0,0,8.57,59.28,134.5,329.96,231.74,1090.94,7087.78,4535.34,2391.81,4904.41,10703.83,4357.62,2906.57,3831.81,8786.33,8018.71,4317.47,63696.67,999.97,733.06,1293.72,1026.89
